name,pubCode,description,startDate,endDate
"vst.dataCollected","dendrometerOnly","Only stems with dendrometer bands measured",2019-01-01T00:00:00Z,
"vst.eventType","fullCensus","All growthForms measured",2019-01-01T00:00:00Z,
"vst.eventType","productivitySubset","Subset of growthForms measured for productivity analyses",2019-01-01T00:00:00Z,
"vst.eventType","dendrometerOnly","Only trees with dendrometer bands installed are measured within the specified plot",2019-01-01T00:00:00Z,
"vst.growthForm","single bole tree","Tree with single primary supporting stem",2012-01-01T00:00:00Z,
"vst.growthForm","multi-bole tree","Tree with multiple primary supporting stems",2012-01-01T00:00:00Z,
"vst.growthForm","small tree","Tree with diameter between 1 and 10 cm. and height > 130 centimeters",2012-01-01T00:00:00Z,
"vst.growthForm","sapling","Young tree with diameter < 1 cm at 10cm along the stem",2012-01-01T00:00:00Z,
"vst.growthForm","liana","Non self-supporting woody plant",2012-01-01T00:00:00Z,
"vst.growthForm","single shrub","A self-supporting individual, typically with multiple primary stems, at least one of which has a diameter > 1 centimeter at 130 centimeters high ",2012-01-01T00:00:00Z,
"vst.growthForm","small shrub","A self-supporting individual, typically with multiple primary stems, at least one of which has a diameter > 1 centimeter at 10 centimeters high ",2012-01-01T00:00:00Z,
"vst.growthForm","fern","Spore bearing vascular species with frond length >30 centimeters, excluding tree ferns",2012-01-01T00:00:00Z,
"vst.growthForm","cactus","Any member of the family Cactaceae",2012-01-01T00:00:00Z,
"vst.growthForm","yucca","Yucca, agave and other non-woody, basal rosette subshrubs",2012-01-01T00:00:00Z,
"vst.growthForm","xerophyllum","Any member of the genus Xerophyllum",2012-01-01T00:00:00Z,
"vst.growthForm","palm","Any member of the family Arecaceae",2012-01-01T00:00:00Z,
"vst.growthForm","ocotillo","Foquieria splendens and all associated subspecies",2012-01-01T00:00:00Z,
"vst.growthForm","tree fern","Large palmlike ferns with a trunklike stem bearing a crown of large fronds (e.g. Cibotium spp. and Sadleria spp.)",2018-01-01T00:00:00Z,
"vst.nestedSubplot","4","Nested subplot identifier, NE corner",2012-01-01T00:00:00Z,
"vst.nestedSubplot","3","Nested subplot identifier, NW corner",2012-01-01T00:00:00Z,
"vst.nestedSubplot","1","Nested subplot identifier, SW corner",2012-01-01T00:00:00Z,
"vst.nestedSubplot","2","Nested subplot identifier, SE corner",2012-01-01T00:00:00Z,
"vst.nestedSubplotArea","1","Data collected within 1 m2 sampling areas",2012-01-01T00:00:00Z,
"vst.nestedSubplotArea","3","Data collected within 3 m2 sampling areas",2012-01-01T00:00:00Z,
"vst.nestedSubplotArea","10","Data collected within 10 m2 sampling areas",2012-01-01T00:00:00Z,
"vst.nestedSubplotArea","25","Data collected within 25 m2 sampling areas",2012-01-01T00:00:00Z,
"vst.nestedSubplotArea","100","Data collected within 100 m2 sampling areas",2012-01-01T00:00:00Z,
"vst.nestedSubplotArea","noneSelected","No nested subplot area defined, data are collected within the entire subplot",2012-01-01T00:00:00Z,
"vst.nestedSubplotArea","unknown","Nested subplot area not recorded actual sampling area is not known for certain.",2012-01-01T00:00:00Z,
"vst.nestedSubplotArea","notAssessed","Vegetation type not considered for the specified event type",2019-01-01T00:00:00Z,
"vst.plantStatus","Live","Any live, undamaged individual  (new, re-measured or ingrowth)",2012-01-01T00:00:00Z,
"vst.plantStatus","Standing dead","Standing dead tree or standing dead bole within a multi-bole tree, regardless of cause of death. The entire tree or bole must be dead, and the main bole is NOT broken",2012-01-01T00:00:00Z,
"vst.plantStatus","Removed","An individual that has been cut and removed by direct human activity related to harvesting, silviculture or land clearing (re-measurement plots only)",2012-01-01T00:00:00Z,
"vst.plantStatus","Live, insect damaged","Visible damage caused by insects; note 'crown' or 'bole' damage in remarks, and indicate type of insect causing damage if possible (e.g., mountain pine beetle, gypsy moth, etc.)",2012-01-01T00:00:00Z,
"vst.plantStatus","Live, disease damaged","Visible damage cause by disease; note 'crown' or 'bole' damage in remarks, and indicate type of disease causing damage if possible (e.g., Blister Rust, rot, canker, other (specify), unknown",2012-01-01T00:00:00Z,
"vst.plantStatus","Live, physically damaged","Visible damage not caused by disease or insects; note 'crown' or 'bole' damage in remarks, and indicate type of physical damage if possible (e.g., broken stem, bole scar, girdling, snow/ice damage, crushed, lightning, crown scorch, bole scorch)",2012-01-01T00:00:00Z,
"vst.plantStatus","Live,  other damage","Visible damage of unknown origin; note 'crown' or 'bole' damage in remarks, and note cause if possible",2012-01-01T00:00:00Z,
"vst.plantStatus","No longer qualifies","Individual is still alive and may qualify in the future, but does not currently qualify. Reason noted in remarks (e.g., consumption of qualifying boles / stems by fire, blow-down of qualifying boles / stems, etc.)",2012-01-01T00:00:00Z,
"vst.plantStatus","Live, broken bole","Tree with broken spike top, tree with broken main bole and ascending leaders, tree broken and dead at top but live below",2012-01-01T00:00:00Z,
"vst.plantStatus","Dead, broken bole","All parts of the broken tree are dead; may have broken spike top, or dead leaders ascending beyond the break point. Indicate factors associated with death and the source of damage in order of importance in the remarks field",2012-01-01T00:00:00Z,
"vst.plantStatus","Lost, burned","A previously measured individual that is not measured in the current bout because the plot has been burned and the individual could not be located for remeasurement",2012-01-01T00:00:00Z,
"vst.plantStatus","Lost, herbivory","A previously measured individual that is not measured in the current bout because the individual could not be located for remeasurement. Cause of loss is presumed to be herbivory",2012-01-01T00:00:00Z,
"vst.plantStatus","Lost, presumed dead","A previously measured individual that is not measured in the current bout because the individual could not be located for remeasurement, the individual is presumed dead based on evidence within the plot. Note in remarks reason (i.e. blowdown event)",2012-01-01T00:00:00Z,
"vst.plantStatus","Lost, tag damaged","A previously measured individual that is not measured in the current bout due to inability to re-locate because of widespread damage to tags within a plot",2012-01-01T00:00:00Z,2018-11-01T00:00:00Z
"vst.plantStatus","Lost, fate unknown","A previously measured individual that is not measured in the current bout note because the individual could not be relocated",2012-01-01T00:00:00Z,
"vst.plantStatus","Downed","Part or all of a dead tree is down, and in contact with the ground. Percent of the bole in direct contact with the ground recorded in remarks",2012-01-01T00:00:00Z,
"vst.recordType","map and tag","Permanently tagged individual with taxonomic data, general location and within plot relative position mapping",2012-01-01T00:00:00Z,
"vst.recordType","tag only","Permanently tagged individual with taxonomic data and general location (e.g. plot, subplot)",2012-01-01T00:00:00Z,
"vst.recordType","temporary","Temporary tag for an individual that is not tracked through time; contains taxonomic and general location data",2012-01-01T00:00:00Z,
"vst.recordType","band","Permanently tagged individual with taxonomic data, relative mapping and dendrometer band installed",2019-08-01T00:00:00Z,
"vst.samplingProtocolVersion","NEON.DOC.000987vA","Data collected according to protocol version A",2012-01-01T00:00:00Z,
"vst.samplingProtocolVersion","NEON.DOC.000987vB","Data collected according to protocol version B",2012-01-01T00:00:00Z,
"vst.samplingProtocolVersion","NEON.DOC.000987vC","Data collected according to protocol version C",2012-01-01T00:00:00Z,
"vst.samplingProtocolVersion","NEON.DOC.000987vD","Data collected according to protocol version D",2012-01-01T00:00:00Z,
"vst.samplingProtocolVersion","NEON.DOC.000987vE","Data collected according to protocol version E",2012-01-01T00:00:00Z,
"vst.samplingProtocolVersion","NEON.DOC.000987vF","Data collected according to protocol version F",2012-01-01T00:00:00Z,
"vst.samplingProtocolVersion","NEON.DOC.000987vG","Data collected according to protocol version G",2012-01-01T00:00:00Z,
"vst.samplingProtocolVersion","NEON.DOC.000987vH","Data collected according to protocol version H",2012-01-01T00:00:00Z,
"vst.samplingProtocolVersion","NEON.DOC.000987vJ","Data collected according to protocol version J",2019-01-01T00:00:00Z,
"vst.shape","half-sphere","half-sphere",2012-01-01T00:00:00Z,
"vst.shape","oblate half-sphere","oblate half-sphere",2012-01-01T00:00:00Z,
"vst.shape","cone","cone",2012-01-01T00:00:00Z,
"vst.shape","inverted cone","inverted cone",2012-01-01T00:00:00Z,
"vst.shape","cylinder","cylinder",2012-01-01T00:00:00Z,
"vst.shape","ellipsoid or sphere","ellipsoid or sphere",2012-01-01T00:00:00Z,
"vst.shape","vine","vine",2012-01-01T00:00:00Z,
"vst.shape","columnar","columnar",2012-01-01T00:00:00Z,
"vst.shape","pad","Pad forming growth pattern (e.g. Opuntia spp.)",2012-01-01T00:00:00Z,
"vst.subplot","31","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","32","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","21","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","23","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","40","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","39","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.subplot","41","Subplot named according to pointID of the southwest corner",2012-01-01T00:00:00Z,
"vst.tagStatus","ok","Tag is attached to individual and consistent with previously entered value",2012-01-01T00:00:00Z,
"vst.tagStatus","replaced","Tag was no longer attached and has been re-made or reattached",2012-01-01T00:00:00Z,
"vst.tagStatus","mislabeled","TagID was incorrectly recorded and has been reassigned",2012-01-01T00:00:00Z,2018-11-01T00:00:00Z
"vst.tagStatus","untagged","Measured individual does not have unique tagID assigned",2012-01-01T00:00:00Z,2018-11-01T00:00:00Z
"vst.tagStatus","unknown","Tagged individual could not be re-located for measurement",2012-01-01T00:00:00Z,2018-11-01T00:00:00Z
"vst.tagStatus","removed","Tagged individuals no longer qualifies for measurement according to any protocol and tagID will not be used again at the site",2012-01-01T00:00:00Z,2018-12-31T00:00:00Z
"vst.tagStatus","notRequired","Measured individual does not have unique tagID assigned, no status reported",2012-01-01T00:00:00Z,
"vst.tagStatus","tagRemoved","Tagged individuals no longer qualifies for measurement according to any protocol and tagID will not be used again at the site",2018-01-01T00:00:00Z,
"Yes or No choice","Y","Yes",2012-01-01T00:00:00Z,
"Yes or No choice","N","No",2012-01-01T00:00:00Z,
"Yes, No, or Unknown choice","Y","Yes",2012-01-01T00:00:00Z,
"Yes, No, or Unknown choice","N","No",2012-01-01T00:00:00Z,
"Yes, No, or Unknown choice","U","Unknown",2012-01-01T00:00:00Z,
